COD_MKT_ID;COD_MKT;AREA;COD_AREA;MACROSETTORE;COD_MACROSET;SETTORE;COD_SETT;REPARTO;COD_REP;CATEGORIA;COD_CATEG;SOTTOCATEGORIA;COD_SUBCATEG;SEGMENTO;COD_SEGMENTO
49;68066110103;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;PULIZIA PED;611;CASA;01;ASPIRAPOL. BIDONE;03
50;68066110104;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;PULIZIA PED;611;CASA;01;ASPIRAPOL. CARRELLO;04
51;68066110105;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;PULIZIA PED;611;CASA;01;ASPIRAPOL. SENZA FILO;05
52;68066110106;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;PULIZIA PED;611;CASA;01;BATTITAPPETI;06
53;68066110107;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;PULIZIA PED;611;CASA;01;LAVAPAVIMENTI;07
54;68066110108;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;PULIZIA PED;611;CASA;01;LUCIDATRICI;08
55;68066110109;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;PULIZIA PED;611;CASA;01;SACCHETTI;09
56;68066110110;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;PULIZIA PED;611;CASA;01;SCOPE ELETTRICHE;10
57;68066110201;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;PULIZIA PED;611;STIRO;02;FERRI A CALDAIA;01
58;68066110202;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;PULIZIA PED;611;STIRO;02;FERRI A SECCO;02
59;68066110203;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;PULIZIA PED;611;STIRO;02;FERRI A VAPORE;03
60;68066110204;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;PULIZIA PED;611;STIRO;02;FERRI DA VIAGGIO;04
61;68066110205;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;PULIZIA PED;611;STIRO;02;MACCHINE STIRATRICI;05
62;68066110206;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;PULIZIA PED;611;STIRO;02;ACCESSORI;06
63;68066130101;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CURA DELLA PERSONA PED;613;ANIMALI MOLESTI;01;SCACCIATOPI;01
64;68066130102;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CURA DELLA PERSONA PED;613;ANIMALI MOLESTI;01;ZANZARIERE COMBINATE;02
65;68066130103;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CURA DELLA PERSONA PED;613;ANIMALI MOLESTI;01;ZANZARIERE ULTRASUONI;03
66;68066130201;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CURA DELLA PERSONA PED;613;ASCIUGACAPELLI;02;PROFESSIONALI;01
67;68066130202;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CURA DELLA PERSONA PED;613;ASCIUGACAPELLI;02;NORMALI;02
68;68066130203;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CURA DELLA PERSONA PED;613;ASCIUGACAPELLI;02;VIAGGIO;03
69;68066130204;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CURA DELLA PERSONA PED;613;ASCIUGACAPELLI;02;CASCHI;04
70;68066130205;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CURA DELLA PERSONA PED;613;ASCIUGACAPELLI;02;PARETE;05
71;68066130206;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CURA DELLA PERSONA PED;613;ASCIUGACAPELLI;02;PIASTRE;06
72;68066130207;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CURA DELLA PERSONA PED;613;ASCIUGACAPELLI;02;ARRICCIACAPELLI;07
73;68066130208;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CURA DELLA PERSONA PED;613;ASCIUGACAPELLI;02;SPAZZOLE AD ARIA;08
74;68066130301;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CURA DELLA PERSONA PED;613;DEPILAZIONE;03;DEPILATORI;01
75;68066130302;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CURA DELLA PERSONA PED;613;DEPILAZIONE;03;EPILATORI;02
76;68066130303;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CURA DELLA PERSONA PED;613;DEPILAZIONE;03;SISTEMA A CERETTA;03
77;68066130304;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CURA DELLA PERSONA PED;613;DEPILAZIONE;03;ACCESSORI;04
78;68066130401;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CURA DELLA PERSONA PED;613;IGIENE ORALE;04;COMBINATI;01
79;68066130402;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CURA DELLA PERSONA PED;613;IGIENE ORALE;04;IDROPULSORI;02
80;68066130403;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CURA DELLA PERSONA PED;613;IGIENE ORALE;04;SPAZZOLINI ELETTRICI;03
81;68066130404;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CURA DELLA PERSONA PED;613;IGIENE ORALE;04;ACCESSORI;04
82;68066130501;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CURA DELLA PERSONA PED;613;LAMPADE SOLARI;05;CORPO;01
83;68066130502;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CURA DELLA PERSONA PED;613;LAMPADE SOLARI;05;MEZZO BUSTO;02
84;68066130503;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CURA DELLA PERSONA PED;613;LAMPADE SOLARI;05;VISO;03
85;68066130601;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CURA DELLA PERSONA PED;613;RELAX;06;ELETTROSTIMOLATORI;01
86;68066130602;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CURA DELLA PERSONA PED;613;RELAX;06;IDROMASSAGGIATORI;02
87;68066130603;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CURA DELLA PERSONA PED;613;RELAX;06;VIBROMASSAGGIATORI;03
88;68066130701;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CURA DELLA PERSONA PED;613;RASOI;07;A GRIGLIA;01
89;68066130702;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CURA DELLA PERSONA PED;613;RASOI;07;REGOLA BARBA;02
90;68066130703;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CURA DELLA PERSONA PED;613;RASOI;07;ROTANTI;03
91;68066130704;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CURA DELLA PERSONA PED;613;RASOI;07;TAGLIA CAPELLI;04
92;68066130705;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CURA DELLA PERSONA PED;613;RASOI;07;ACCESSORI;05
93;68066130801;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CURA DELLA PERSONA PED;613;SALUTE;08;INALATORI;01
94;68066130802;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CURA DELLA PERSONA PED;613;SALUTE;08;SAUNE FACCIALI;02
95;68066130803;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CURA DELLA PERSONA PED;613;SALUTE;08;SFIGMOMANOMETRI;03
96;68066130804;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CURA DELLA PERSONA PED;613;SALUTE;08;TERMOFORI;04
97;68066130805;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CURA DELLA PERSONA PED;613;SALUTE;08;TERMOMETRI ELETTRICI;05
98;68066150101;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;SARTORIA PED;615;MACCH. PER MAGLIERIA;01;ELETTRICHE;01
99;68066150201;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;SARTORIA PED;615;MACCHINE PER CUCIRE;02;ELETTRICHE;01
100;68066150202;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;SARTORIA PED;615;MACCHINE PER CUCIRE;02;ACCESSORI;02
101;68066170101;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CONDIZIONAMENTO;617;CONDIZIONATORI;01;CARRELLO AD ARIA;01
102;68066170102;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CONDIZIONAMENTO;617;CONDIZIONATORI;01;CARRELLO SPLIT;02
103;68066170103;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CONDIZIONAMENTO;617;CONDIZIONATORI;01;FISSI;03
104;68066170201;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CONDIZIONAMENTO;617;PER RISCALDARE AMBIENTE;02;BRUCIATUTTO/ COMBUS.;01
105;68066170202;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CONDIZIONAMENTO;617;PER RISCALDARE AMBIENTE;02;RADIATORI OLIO;02
106;68066170203;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CONDIZIONAMENTO;617;PER RISCALDARE AMBIENTE;02;RADIATORI VENTILATI;03
107;68066170204;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CONDIZIONAMENTO;617;PER RISCALDARE AMBIENTE;02;STUFE A GAS;04
108;68066170205;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CONDIZIONAMENTO;617;PER RISCALDARE AMBIENTE;02;STUFE ELETTRICHE;05
109;68066170206;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CONDIZIONAMENTO;617;PER RISCALDARE AMBIENTE;02;TERMO CONVETTORI;06
110;68066170207;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CONDIZIONAMENTO;617;PER RISCALDARE AMBIENTE;02;TERMO VENTILATORI;07
111;68066170301;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CONDIZIONAMENTO;617;PER RISCALDARE LETTO;03;COPERTE ELETTRICHE;01
112;68066170302;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CONDIZIONAMENTO;617;PER RISCALDARE LETTO;03;SCALDALETTO ELETTRICI;02
113;68066170303;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CONDIZIONAMENTO;617;PER RISCALDARE LETTO;03;SCALDINO PIEDI;03
114;68066170401;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CONDIZIONAMENTO;617;SANIFICATORI;04;DEUMIDIFICATORI;01
115;68066170402;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CONDIZIONAMENTO;617;SANIFICATORI;04;ESTRATTORI;02
116;68066170403;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CONDIZIONAMENTO;617;SANIFICATORI;04;PURIFICATORI;03
117;68066170404;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CONDIZIONAMENTO;617;SANIFICATORI;04;UMIDIFICATORI;04
118;68066170501;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CONDIZIONAMENTO;617;SCALDABAGNI;05;A GAS;01
119;68066170502;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CONDIZIONAMENTO;617;SCALDABAGNI;05;ELETTRICI;02
120;68066170601;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CONDIZIONAMENTO;617;VENTILATORI;06;A PIANTANA;01
121;68066170602;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CONDIZIONAMENTO;617;VENTILATORI;06;A SOFFITTO;02
122;68066170603;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;CONDIZIONAMENTO;617;VENTILATORI;06;DA TAVOLO;03
123;6806W660101;Non alimentari;2;No Food;3;MULTIMEDIA;68;PED;06;PED;W66;PED;01;PED;01
124;68076190101;Non alimentari;2;No Food;3;MULTIMEDIA;68;GED;07;LAVAGGIO;619;ASCIUGATRICI;01;CARICA ALTO;01
125;68076190102;Non alimentari;2;No Food;3;MULTIMEDIA;68;GED;07;LAVAGGIO;619;ASCIUGATRICI;01;FRONTALI;02
126;68076190201;Non alimentari;2;No Food;3;MULTIMEDIA;68;GED;07;LAVAGGIO;619;LAVASTOVIGLIE;02;NORMALI;01
127;68076190202;Non alimentari;2;No Food;3;MULTIMEDIA;68;GED;07;LAVAGGIO;619;LAVASTOVIGLIE;02;RIDOTTE;02
128;68076190301;Non alimentari;2;No Food;3;MULTIMEDIA;68;GED;07;LAVAGGIO;619;LAVATRICI;03;CARICA ALTO;01
129;68076190302;Non alimentari;2;No Food;3;MULTIMEDIA;68;GED;07;LAVAGGIO;619;LAVATRICI;03;FRONTALI;02
130;68076190303;Non alimentari;2;No Food;3;MULTIMEDIA;68;GED;07;LAVAGGIO;619;LAVATRICI;03;FRONTALI RIDOTTI;03
131;68076190304;Non alimentari;2;No Food;3;MULTIMEDIA;68;GED;07;LAVAGGIO;619;LAVATRICI;03;LAVASCIUGA;04
132;68076190305;Non alimentari;2;No Food;3;MULTIMEDIA;68;GED;07;LAVAGGIO;619;LAVATRICI;03;PORTATILI;05
133;68076190401;Non alimentari;2;No Food;3;MULTIMEDIA;68;GED;07;LAVAGGIO;619;ACCESSORI;04;ACCESSORI;01
134;68076210101;Non alimentari;2;No Food;3;MULTIMEDIA;68;GED;07;CONSERVAZIONE GED;621;COMBINATI;01;1 MOTORE;01
135;68076210102;Non alimentari;2;No Food;3;MULTIMEDIA;68;GED;07;CONSERVAZIONE GED;621;COMBINATI;01;1 MOTORE + ELETTROVALVOLA;02
136;68076210103;Non alimentari;2;No Food;3;MULTIMEDIA;68;GED;07;CONSERVAZIONE GED;621;COMBINATI;01;2 MOTORI;03
137;68076210104;Non alimentari;2;No Food;3;MULTIMEDIA;68;GED;07;CONSERVAZIONE GED;621;COMBINATI;01;SIDE BY SIDE;04
138;68076210201;Non alimentari;2;No Food;3;MULTIMEDIA;68;GED;07;CONSERVAZIONE GED;621;CONGELATORI;02;ORIZZONTALI;01
139;68076210202;Non alimentari;2;No Food;3;MULTIMEDIA;68;GED;07;CONSERVAZIONE GED;621;CONGELATORI;02;VERTICALI;02
140;52030710101;Alimentari;1;Generi vari;1;GROCERY ALIMENTARI;52;LIQUIDI;03;ACQUE;071;MINERALI;01;NATURALI;01
141;52030710102;Alimentari;1;Generi vari;1;GROCERY ALIMENTARI;52;LIQUIDI;03;ACQUE;071;MINERALI;01;FRIZZANTI;02
142;52030710103;Alimentari;1;Generi vari;1;GROCERY ALIMENTARI;52;LIQUIDI;03;ACQUE;071;MINERALI;01;LIEVEMENTE FRIZZ.;03
143;52030710104;Alimentari;1;Generi vari;1;GROCERY ALIMENTARI;52;LIQUIDI;03;ACQUE;071;MINERALI;01;EFFERVESCENTI NAT.;04
144;52030710201;Alimentari;1;Generi vari;1;GROCERY ALIMENTARI;52;LIQUIDI;03;ACQUE;071;ALTRE ACQUE;02;ALTRE ACQUE;01
145;52030730101;Alimentari;1;Generi vari;1;GROCERY ALIMENTARI;52;LIQUIDI;03;BIBITE;073;COLE;01;NORMALE;01
146;52030730102;Alimentari;1;Generi vari;1;GROCERY ALIMENTARI;52;LIQUIDI;03;BIBITE;073;COLE;01;DECAFFEINATA;02
147;52030730103;Alimentari;1;Generi vari;1;GROCERY ALIMENTARI;52;LIQUIDI;03;BIBITE;073;COLE;01;LIGHT;03
148;52030730201;Alimentari;1;Generi vari;1;GROCERY ALIMENTARI;52;LIQUIDI;03;BIBITE;073;ARANCIATE;02;DOLCE;01
149;52030730202;Alimentari;1;Generi vari;1;GROCERY ALIMENTARI;52;LIQUIDI;03;BIBITE;073;ARANCIATE;02;AMARA;02
150;52030730203;Alimentari;1;Generi vari;1;GROCERY ALIMENTARI;52;LIQUIDI;03;BIBITE;073;ARANCIATE;02;LIGHT;03
151;52030730301;Alimentari;1;Generi vari;1;GROCERY ALIMENTARI;52;LIQUIDI;03;BIBITE;073;ALTRE GAS;03;POMPELMO;01
152;52030730302;Alimentari;1;Generi vari;1;GROCERY ALIMENTARI;52;LIQUIDI;03;BIBITE;073;ALTRE GAS;03;GASSOSA;02
153;52030730303;Alimentari;1;Generi vari;1;GROCERY ALIMENTARI;52;LIQUIDI;03;BIBITE;073;ALTRE GAS;03;LIMONATA;03
154;52030730304;Alimentari;1;Generi vari;1;GROCERY ALIMENTARI;52;LIQUIDI;03;BIBITE;073;ALTRE GAS;03;CHINOTTO;04
155;52030730305;Alimentari;1;Generi vari;1;GROCERY ALIMENTARI;52;LIQUIDI;03;BIBITE;073;ALTRE GAS;03;ACQUA TONICA;05
156;52030730306;Alimentari;1;Generi vari;1;GROCERY ALIMENTARI;52;LIQUIDI;03;BIBITE;073;ALTRE GAS;03;ALTRE GAS;06
157;52030730401;Alimentari;1;Generi vari;1;GROCERY ALIMENTARI;52;LIQUIDI;03;BIBITE;073;BASE FRUTTA;04;ARANCIA;01
158;52030730402;Alimentari;1;Generi vari;1;GROCERY ALIMENTARI;52;LIQUIDI;03;BIBITE;073;BASE FRUTTA;04;ANANAS;02
159;52030730403;Alimentari;1;Generi vari;1;GROCERY ALIMENTARI;52;LIQUIDI;03;BIBITE;073;BASE FRUTTA;04;POMPELMO;03
160;52030730404;Alimentari;1;Generi vari;1;GROCERY ALIMENTARI;52;LIQUIDI;03;BIBITE;073;BASE FRUTTA;04;TROPICAL;04
161;52030730405;Alimentari;1;Generi vari;1;GROCERY ALIMENTARI;52;LIQUIDI;03;BIBITE;073;BASE FRUTTA;04;ALTRO;05
162;52030730501;Alimentari;1;Generi vari;1;GROCERY ALIMENTARI;52;LIQUIDI;03;BIBITE;073;THE PRONTO;05;NORMALE;01
163;52030730502;Alimentari;1;Generi vari;1;GROCERY ALIMENTARI;52;LIQUIDI;03;BIBITE;073;THE PRONTO;05;DETEINATO;02
164;52030730503;Alimentari;1;Generi vari;1;GROCERY ALIMENTARI;52;LIQUIDI;03;BIBITE;073;THE PRONTO;05;LIGHT;03
165;52030730601;Alimentari;1;Generi vari;1;GROCERY ALIMENTARI;52;LIQUIDI;03;BIBITE;073;ACQUE AROMATIZZATE;06;ACQUE AROMATIZZATE;01
166;52030730701;Alimentari;1;Generi vari;1;GROCERY ALIMENTARI;52;LIQUIDI;03;BIBITE;073;INTEGRATORI;07;SALINI LIQUIDI;01
167;52030730702;Alimentari;1;Generi vari;1;GROCERY ALIMENTARI;52;LIQUIDI;03;BIBITE;073;INTEGRATORI;07;SALINI POLVERI;02
168;52030730703;Alimentari;1;Generi vari;1;GROCERY ALIMENTARI;52;LIQUIDI;03;BIBITE;073;INTEGRATORI;07;ENERGETICI;03
169;52030730704;Alimentari;1;Generi vari;1;GROCERY ALIMENTARI;52;LIQUIDI;03;BIBITE;073;INTEGRATORI;07;ALTRE;04
170;52030730801;Alimentari;1;Generi vari;1;GROCERY ALIMENTARI;52;LIQUIDI;03;BIBITE;073;PREPARATI PER BEVANDE;08;SCIROPPI;01
171;52030730802;Alimentari;1;Generi vari;1;GROCERY ALIMENTARI;52;LIQUIDI;03;BIBITE;073;PREPARATI PER BEVANDE;08;TEA SOLUBILE;02
172;52030730803;Alimentari;1;Generi vari;1;GROCERY ALIMENTARI;52;LIQUIDI;03;BIBITE;073;PREPARATI PER BEVANDE;08;DIGESTIVI;03
173;52030730804;Alimentari;1;Generi vari;1;GROCERY ALIMENTARI;52;LIQUIDI;03;BIBITE;073;PREPARATI PER BEVANDE;08;BICARBONATI;04
174;52030730805;Alimentari;1;Generi vari;1;GROCERY ALIMENTARI;52;LIQUIDI;03;BIBITE;073;PREPARATI PER BEVANDE;08;ALTRI;05
175;52030750101;Alimentari;1;Generi vari;1;GROCERY ALIMENTARI;52;LIQUIDI;03;SUCCHI DI FRUTTA;075;SUCCHI LIQUIDI;01;< 500 ML.;01
